

           BASED ON NAD83 (June90 or NMIP94) DATUM           AUG. 6, 1997
         -------------------------------------------
       -  all co-ordinates are in UTM zone 14 unless otherwise stated.
       -  all co-ordinates are NAD83 (June90) unless otherwise stated.
                                                       UTM CO-ORDINATES
       STATION    LOCATION         ZONE  NAD83      EASTING        NORTHING
       7000427      WPG             14   JUNE90    620680.888     5523637.181
       7000428      WPG             14   JUNE90    620782.302     5523632.597
       7000429      WPG             14   JUNE90    622670.313     5524249.702
       7000430      WPG             14   JUNE90    622649.355     5524213.153
       7000431      WPG             14   JUNE90    623194.268     5524290.856
       7000432      WPG             14   JUNE90    622653.386     5523828.233
       7000433      WPG             14   JUNE90    622636.885     5523876.194
       7000434      WPG             14   JUNE90    622568.105     5523878.864
       7000435      WPG             14   JUNE90    623175.955     5523496.578
       7000436      WPG             14   JUNE90    623171.594     5523373.749
       7000437      WPG             14   JUNE90    623446.152     5524203.239
       7000438      WPG             14   JUNE90    623476.493     5524241.291
       7000439      WPG             14   JUNE90    623823.588     5524319.174
       7000440      WPG             14   JUNE90    623798.633     5524311.824
       7000441      WPG             14   JUNE90    623763.610     5524329.851
       7000442      WPG             14   JUNE90    625092.704     5524940.793
       7000443      WPG             14   JUNE90    625072.605     5524940.764
       7000444      WPG             14   JUNE90    625093.224     5524956.007
       7000445      WPG             14   JUNE90    625526.936     5524942.288
       7000446      WPG             14   JUNE90    625588.507     5524940.011
       7000447      WPG             14   JUNE90    625506.268     5524926.299
       7000448      WPG             14   JUNE90    623623.921     5523712.637
       7000449      WPG             14   JUNE90    623624.660     5523732.681
       7000450      WPG             14   JUNE90    625775.628     5525440.848
       7000451      WPG             14   JUNE90    625754.560     5525414.633
       7000452      WPG             14   JUNE90    625624.205     5525422.571
       7000453      WPG             14   JUNE90    625524.402     5525428.644
       7000454      WPG             14   JUNE90    625504.804     5525457.316
       7000455      WPG             14   JUNE90    625090.107     5525436.898
       7000456      WPG             14   JUNE90    625162.239     5525448.422
       7000457      WPG             14   JUNE90    625475.111     5523221.293
       7000458      WPG             14   JUNE90    625359.670     5523226.365
       7000459      WPG             14   JUNE90    625455.076     5523222.898
       7000460      WPG             14   JUNE90    625461.208     5522833.863
       7000461      WPG             14   JUNE90    625457.450     5522813.917
       7000462      WPG             14   JUNE90    625250.512     5522843.405
       7000463      WPG             14   JUNE90    625018.559     5522853.945
       7000464      WPG             14   JUNE90    624050.452     5522897.752
       7000465      WPG             14   JUNE90    624094.608     5522895.770
       7000466      WPG             14   JUNE90    623982.924     5522850.254
       7000467      WPG             14   JUNE90    624587.993     5522873.515
       7000468      WPG             14   JUNE90    624608.044     5522872.584
       7000469      WPG             14   JUNE90    624636.328     5523674.906
       7000470      WPG             14   JUNE90    624616.333     5523677.815
       7000471      WPG             14   JUNE90    624637.224     5523699.240
       7000472      WPG             14   JUNE90    624640.283     5523784.740
       7000473      WPG             14   JUNE90    625027.239     5523662.633
       7000474      WPG             14   JUNE90    625031.954     5523794.658
       7000475      WPG             14   JUNE90    625471.093     5523669.681
       7000476      WPG             14   JUNE90    625491.110     5523666.832
       7000477      WPG             14   JUNE90    625582.519     5523663.571
       7000478      WPG             14   JUNE90    625470.253     5523645.315
